candidate,dimention,",mean"
overal,gender,1.5815441199848928e-16
hillary,gender,0.059512686115347491
bernie,gender,-0.00029028424270966245
trump,gender,-0.015228718103807878
overal,money,-1.8890250250529113e-16
hillary,money,-0.17771803162722644
bernie,money,0.014141749449727717
trump,money,0.042224773953927638
overal,swear,-3.6957558905985666e-17
hillary,swear,-0.036735917918531598
bernie,swear,0.18853723163147301
trump,swear,-0.036735917918531882
overal,other_countries_immigrants,-9.2349009541596589e-16
hillary,other_countries_immigrants,-0.24190067610409971
bernie,other_countries_immigrants,-0.20825163619225295
trump,other_countries_immigrants,0.11319804421960075
overal,race,2.8642108152138894e-16
hillary,race,0.022192772797486337
bernie,race,-0.045228047629471739
trump,race,0.0053726955827642338
